ref,ID,method,eval,EC,name,kegg_reaction,reaction,dG0',T,I,pH,pMg
Alberty (2006),C00002,formation,A,,formation of ATP,10 C06265 + 8 C90000 + 2.5 C90001 + 6.5 C90002 + 3 C90007 <=> C00002,10 Carbon + 8 H2(g) + 2.5 N2(g) + 6.5 O2(g) + 3 Phosphorus <=> ATP,-2293.18,298.15,0,7.0,14
Alberty (2006),C00008,formation,A,,formation of ADP,10 C06265 + 7.5 C90000 + 2.5 C90001 + 5 C90002 + 2 C90007 <=> C00008,10 Carbon + 7.5 H2(g) + 2.5 N2(g) + 5 O2(g) + 2 Phosphorus <=> ADP,-1428.79,298.15,0,7.0,14
Alberty (2006),C00020,formation,A,,formation of AMP,10 C06265 + 7 C90000 + 2.5 C90001 + 3.5 C90002 + C90007 <=> C00020,10 Carbon + 7 H2(g) + 2.5 N2(g) + 3.5 O2(g) + Phosphorus <=> AMP,-561.67,298.15,0,7.0,14
Alberty (2006),C00022,formation,A,,formation of Pyruvate,3 C06265 + 2 C90000 + 1.5 C90002 <=> C00022,3 Carbon + 2 H2(g) + 1.5 O2(g) <=> Pyruvate,-352.47,298.15,0,7.0,14
Alberty (2006),C00025,formation,A,,formation of L-Glutamate,5 C06265 + 4.5 C90000 + 0.5 C90001 + 2 C90002 <=> C00025,5 Carbon + 4.5 H2(g) + 0.5 N2(g) + 2 O2(g) <=> L-Glutamate,-378.00,298.15,0,7.0,14
Alberty (2006),C00026,formation,A,,formation of 2-Oxoglutarate,5 C06265 + 3 C90000 + 2.5 C90002 <=> C00026,5 Carbon + 3 H2(g) + 2.5 O2(g) <=> 2-Oxoglutarate,-633.67,298.15,0,7.0,14
Alberty (2006),C00031,formation,A,,formation of D-Glucose,6 C06265 + 6 C90000 + 3 C90002 <=> C00031,6 Carbon + 6 H2(g) + 3 O2(g) <=> D-Glucose,-436.68,298.15,0,7.0,14
Alberty (2006),C00033,formation,A,,formation of Acetate,2 C06265 + 2 C90000 + C90002 <=> C00033,2 Carbon + 2 H2(g) + O2(g) <=> Acetate,-249.51,298.15,0,7.0,14
Alberty (2006),C00036,formation,A,,formation of Oxaloacetate,4 C06265 + 2 C90000 + 2.5 C90002 <=> C00036,4 Carbon + 2 H2(g) + 2.5 O2(g) <=> Oxaloacetate,-713.42,298.15,0,7.0,14
Alberty (2006),C00037,formation,A,,formation of Glycine,2 C06265 + 2.5 C90000 + 0.5 C90001 + C90002 <=> C00037,2 Carbon + 2.5 H2(g) + 0.5 N2(g) + O2(g) <=> Glycine,-180.25,298.15,0,7.0,14
Alberty (2006),C00041,formation,A,,formation of L-Alanine,3 C06265 + 3.5 C90000 + 0.5 C90001 + C90002 <=> C00041,3 Carbon + 3.5 H2(g) + 0.5 N2(g) + O2(g) <=> L-Alanine,-91.47,298.15,0,7.0,14
Alberty (2006),C00042,formation,A,,formation of Succinate,4 C06265 + 3 C90000 + 2 C90002 <=> C00042,4 Carbon + 3 H2(g) + 2 O2(g) <=> Succinate,-530.82,298.15,0,7.0,14
Alberty (2006),C00048,formation,A,,formation of Glyoxylate,2 C06265 + C90000 + 1.5 C90002 <=> C00048,2 Carbon + H2(g) + 1.5 O2(g) <=> Glyoxylate,-428.67,298.15,0,7.0,14
Alberty (2006),C00049,formation,A,,formation of L-Aspartate,4 C06265 + 3.5 C90000 + 0.5 C90001 + 2 C90002 <=> C00049,4 Carbon + 3.5 H2(g) + 0.5 N2(g) + 2 O2(g) <=> L-Aspartate,-456.31,298.15,0,7.0,14
Alberty (2006),C00064,formation,A,,formation of L-Glutamine,5 C06265 + 5 C90000 + C90001 + 1.5 C90002 <=> C00064,5 Carbon + 5 H2(g) + N2(g) + 1.5 O2(g) <=> L-Glutamine,-128.69,298.15,0,7.0,14
Alberty (2006),C00065,formation,A,,formation of L-Serine,3 C06265 + 3.5 C90000 + 0.5 C90001 + 1.5 C90002 <=> C00065,3 Carbon + 3.5 H2(g) + 0.5 N2(g) + 1.5 O2(g) <=> L-Serine,-231.36,298.15,0,7.0,14
Alberty (2006),C00074,formation,A,,formation of Phosphoenolpyruvate,3 C06265 + 2.5 C90000 + 3 C90002 + C90007 <=> C00074,3 Carbon + 2.5 H2(g) + 3 O2(g) + Phosphorus <=> Phosphoenolpyruvate,-1184.03,298.15,0,7.0,14
Alberty (2006),C00078,formation,A,,formation of L-Tryptophan,11 C06265 + 6 C90000 + C90001 + C90002 <=> C00078,11 Carbon + 6 H2(g) + N2(g) + O2(g) <=> L-Tryptophan,364.51,298.15,0,7.0,14
Alberty (2006),C00079,formation,A,,formation of L-Phenylalanine,9 C06265 + 5.5 C90000 + 0.5 C90001 + C90002 <=> C00079,9 Carbon + 5.5 H2(g) + 0.5 N2(g) + O2(g) <=> L-Phenylalanine,232.17,298.15,0,7.0,14
Alberty (2006),C00082,formation,A,,formation of L-Tyrosine,9 C06265 + 5.5 C90000 + 0.5 C90001 + 1.5 C90002 <=> C00082,9 Carbon + 5.5 H2(g) + 0.5 N2(g) + 1.5 O2(g) <=> L-Tyrosine,68.56,298.15,0,7.0,14
Alberty (2006),C00084,formation,A,,formation of Acetaldehyde,2 C06265 + 2 C90000 + 0.5 C90002 <=> C00084,2 Carbon + 2 H2(g) + 0.5 O2(g) <=> Acetaldehyde,20.74,298.15,0,7.0,14
Alberty (2006),C00085,formation,A,,formation of D-Fructose 6-phosphate,6 C06265 + 6.5 C90000 + 4.5 C90002 + C90007 <=> C00085,6 Carbon + 6.5 H2(g) + 4.5 O2(g) + Phosphorus <=> D-Fructose 6-phosphate,-1321.93,298.15,0,7.0,14
Alberty (2006),C00089,formation,A,,formation of Sucrose,12 C06265 + 11 C90000 + 5.5 C90002 <=> C00089,12 Carbon + 11 H2(g) + 5.5 O2(g) <=> Sucrose,-686.14,298.15,0,7.0,14
Alberty (2006),C00092,formation,A,,formation of D-Glucose 6-phosphate,6 C06265 + 6.5 C90000 + 4.5 C90002 + C90007 <=> C00092,6 Carbon + 6.5 H2(g) + 4.5 O2(g) + Phosphorus <=> D-Glucose 6-phosphate,-1325.06,298.15,0,7.0,14
Alberty (2006),C00095,formation,A,,formation of D-Fructose,6 C06265 + 6 C90000 + 3 C90002 <=> C00095,6 Carbon + 6 H2(g) + 3 O2(g) <=> D-Fructose,-436.30,298.15,0,7.0,14
Alberty (2006),C00097,formation,A,,formation of L-Cysteine,C00087 + 3 C06265 + 3.5 C90000 + 0.5 C90001 + C90002 <=> C00097,Sulfur + 3 Carbon + 3.5 H2(g) + 0.5 N2(g) + O2(g) <=> L-Cysteine,-59.30,298.15,0,7.0,14
Alberty (2006),C00103,formation,A,,formation of D-Glucose 1-phosphate,6 C06265 + 6.5 C90000 + 4.5 C90002 + C90007 <=> C00103,6 Carbon + 6.5 H2(g) + 4.5 O2(g) + Phosphorus <=> D-Glucose 1-phosphate,-1317.97,298.15,0,7.0,14
