"URL","Reference_id","Method","Evaluation","EC value","Enzyme","Reaction","K","Temp","Ionic strength","pH","enthalpy","enthalpy","enthalpy","m(KCl,mol.kg-3)","c(KCl,mol dm-3)","m(KCl,mol.kg-1)","c(Na+,mol dm-3)","c(NaCl,mol dm-3)","c(MnCl2,mol dm-3)","c(MgCl2)","c(MnSO4,mol dm-3)","c c(Mg2+,mol dm-3)","c(MgSO4,mol dm-3)","m(MgCl2,mol.kg-1)","c(CaCl2,mol dm-3)","c(ZnCl2,mol dm-3)","c(Mg)tot(mol dm-3)","c(MgCl2,mol dm-3)","c(Mg2+,mol dm-3)","c(MnSO4)","pMn","pMg","c(total substrate,mol dm-3)","c(nucleotide)tot(mol dm-3)","x(cosolvent)","cosolvent","salt","c(salt,mol dm-3)","c(Tris,mol dm-3)",,"c(spermidine,mol dm-3)","c(phosphate,mol dm-3)","c(orthophosphate)","c(orthophosphate,mol dm-3)","c(tetra-n-propylammonium+,mol dm-3)","buffer","buffer(mol dm-3)","Buffer",,1
"enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",4.87,298.15,0.25,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate","phosphate and acetate",,2
"enzyme_data1.pl?col=1.&T1=70VEE/RAI_584","70VEE/RAI","spectrophotometry","B","1.2.1.12&2.7.2.3","glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase","D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq)",59,311.15,0.25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate",,3
"enzyme_data1.pl?col=1.&T1=78INF/KIN_701","78INF/KIN","paper chromatography","B","2.7.7.15","choline-phosphate cytidylyltransferase","CTP(aq) + phosphorylcholine(aq) = pyrophosphate(aq) + CDPcholine(aq)",0.2,310.15,0.15,7.5,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,"Hepes and Tris",,4
"enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",3.11,313,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,5
"enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",4.01,307.7,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,6
"enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",4,307.5,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,7
"enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",3.93,307.5,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,8
"enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",3.97,307.3,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,9
"enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",4.68,304.1,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,10
"enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",4.74,304.1,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,11
